RIC,Sector,Name,SMA50-SMA200,SMA20-SMA50,Volume-VWAP,Close-VWAP,Last,HighNav,Fibo618,Fibo50,Fibo382,LowNav,PctfromPriceLowfromDate,Pctfrom52WkLow,52WkLow,1W%,1M%,Correlation Data,Rev Growth,% ROE,Volume5D30D,ImpVol30D,TargetPx,20SMA,200SMA
AAPL.OQ,Information Technology,Apple Inc,21.75,3.17,18887619.00,222.95,223.83,259.02,223.10,212.01,200.92,165.00,79.04,36.42,16408.00,-5.90,-12.05,0.61,2.02,174.62,20.22,23.44,243.94,242.47,217.56
ABNB.OQ,Consumer Discretionary,Airbnb Inc,-3.71,-1.82,1310827.00,132.90,132.50,168.18,147.11,140.60,134.08,113.01,60.63,20.02,11040.00,-0.02,-1.27,0.71,18.07,20.87,-11.48,29.09,139.02,132.58,138.10
ADBE.OQ,Information Technology,Adobe Inc,-26.74,-44.97,832132.00,437.35,437.32,634.76,547.34,520.34,493.34,405.92,58.91,8.25,40400.00,4.80,-2.20,-0.56,10.80,36.31,-15.34,47.10,580.03,432.45,504.15
ADI.OQ,Information Technology,Analog Devices Inc,-3.98,-0.09,860102.00,224.24,224.08,243.33,220.42,213.35,206.27,183.36,63.89,22.69,18264.00,2.69,5.81,-0.56,-23.39,4.61,3.42,23.09,250.91,216.19,220.25
ADP.OQ,Industrials,Automatic Data Processing Inc,28.54,-5.14,529456.00,296.79,296.36,307.97,279.50,270.71,261.91,233.44,50.98,28.09,23136.00,1.02,0.80,0.76,6.61,87.26,-3.63,16.32,298.34,293.08,269.68
ADSK.OQ,Information Technology,Autodesk Inc,41.13,-6.83,420903.00,300.97,301.45,321.27,274.92,260.60,246.28,199.93,83.46,54.34,19532.00,3.61,1.12,0.78,9.83,53.25,-4.61,21.19,330.69,294.12,259.82
AEP.OQ,Utilities,American Electric Power Company Inc,0.57,-1.21,1172158.00,97.54,97.49,104.95,93.87,90.45,87.02,75.94,36.67,29.61,7522.00,2.49,5.11,-0.69,-3.35,10.14,-4.65,15.01,100.04,93.55,94.18
AMAT.OQ,Information Technology,Applied Materials Inc,-23.75,-0.62,2282975.00,197.15,195.51,254.97,219.24,208.21,197.17,161.44,162.75,22.96,15900.00,9.60,19.51,-0.55,2.49,40.61,4.69,30.83,211.61,174.39,198.76
AMD.OQ,Information Technology,Advanced Micro Devices Inc,-18.98,-8.53,7902382.00,123.87,123.75,211.38,174.96,163.71,152.46,116.04,121.22,8.15,11442.00,3.16,3.81,-0.59,-3.90,3.26,-12.47,39.51,172.48,122.18,149.70
AMGN.OQ,Health Care,Amgen Inc,-27.50,-11.41,1357803.00,273.60,273.44,337.38,307.28,297.99,288.69,258.59,27.61,7.95,25330.00,1.67,3.82,-0.80,7.09,55.72,-4.94,17.83,318.58,265.06,303.97
