Stock,Sector,WeeklyChange,MonthlyChange,Correlation,YoYGwt,FCFperShare,RevGrowth,%ROE
Apple,Technology,1.43,9.93,0.7825,-34.00,7.06,2.02,157.41
AbbVie Inc,Automative,-1.18,-0.03,-0.3548,-12.27,12.44,-6.44,56.06
Airbnb Inc,Healthcare,-0.17,1.05,0.5182,-67.83,5.87,18.07,20.87
Abbott Laboratories,Energy,-1.58,-2.28,0.7119,14.67,2.89,-8.12,14.93
Arch Capital Group Ltd,Consumer Goods,-4.48,-1.56,0.1054,36.13,15.04,34.03,31.63
Accenture PLC,Entertainment,1.06,1.83,0.7976,23.68,13.55,1.22,26.92
Adobe Inc,Transportation,2.51,9.01,-0.4040,17.15,6.38,10.80,36.31
Analog Devices Inc,Technology,-0.54,-1.52,0.0985,14.15,6.26,-23.39,4.61
Archer-Daniels-Midland Co,Automative,2.22,1.07,-0.7827,-97.55,5.47,-7.50,7.62
Automatic Data Processing Inc,Healthcare,-0.90,-1.97,0.9149,12.39,8.72,6.61,87.26
Autodesk Inc,Energy,1.06,-2.05,0.9394,13.58,5.80,9.83,53.25
Ameren Corp,Consumer Goods,-2.79,-2.65,0.8918,-8.85,-4.58,-5.74,9.91
American Electric Power Company Inc,Entertainment,-2.72,-0.93,-0.3038,-1.67,-4.79,-3.35,10.14
AES Corp,Transportation,1.19,-2.16,-0.5756,123.06,-6.59,0.40,39.19
Aflac Inc,Technology,-2.60,-5.63,0.6131,-106.31,5.33,-2.42,16.04
American International Group Inc,Automative,-3.05,-2.31,0.3897,"2,144.67",8.61,-14.32,9.02
Assurant Inc,Healthcare,-3.32,2.94,0.8702,-27.90,17.40,9.33,15.21
Arthur J. Gallagher & Co.,Energy,-7.71,-3.12,0.5008,9.52,8.38,17.79,10.35
Akamai Technologies Inc,Consumer Goods,1.75,9.83,-0.0219,-63.52,3.20,5.40,11.54
Albemarle Corp,Entertainment,1.20,-6.02,0.7975,-467.90,-7.00,31.38,-21.98
Align Technology Inc,Transportation,1.80,6.34,0.0763,-1.86,7.94,3.42,11.40
Allstate Corp,Technology,-5.68,-2.14,0.8542,"2,866.16",15.09,11.05,26.13
Allegion PLC,Automative,-0.45,-2.08,0.6365,12.22,5.85,11.58,40.81
Applied Materials Inc,Healthcare,-5.54,-9.24,-0.4233,-12.16,8.98,2.49,40.61
Amcor PLC,Energy,-4.30,-2.81,-0.1916,25.22,0.58,-7.17,19.60
Advanced Micro Devices Inc,Consumer Goods,-9.61,-11.67,0.1133,156.75,0.69,-3.90,3.26
AMETEK Inc,Entertainment,-3.25,-1.52,0.8198,-0.24,6.91,7.26,14.89
Amgen Inc,Transportation,-1.74,-15.04,-0.7260,62.38,13.68,7.09,55.72
Ameriprise Financial Inc,Technology,-1.89,-2.34,0.9324,-38.59,41.75,6.15,56.75
American Tower Corp,Automative,-3.81,1.79,-0.5850,-46.94,6.26,4.04,47.53
Amentum Holdings Inc,Healthcare,-0.25,-26.12,-0.3695,22.15,0.34,2.46,NULL
Amazon.com Inc,Energy,5.55,11.32,0.8544,52.60,3.07,11.83,22.56
Arista Networks Inc,Consumer Goods,1.71,7.96,0.8999,35.95,1.58,33.75,33.83
ANSYS Inc,Entertainment,-4.83,-0.67,0.8833,129.64,7.92,9.90,10.48
Aon PLC,Transportation,-5.07,-5.41,0.8644,-29.53,15.53,7.19,86.11
A O Smith Corp,Technology,-0.98,-2.96,-0.5291,-8.57,3.96,2.63,29.54
APA Corp (US),Automative,0.81,0.95,-0.7969,-140.44,2.50,-25.25,71.80
Air Products and Chemicals Inc,Healthcare,-4.62,-0.49,0.8467,186.05,-14.14,-3.96,24.51
Amphenol Corp,Energy,-1.17,0.16,0.8721,15.61,1.74,-0.54,25.33
Aptiv PLC,Consumer Goods,4.40,5.29,-0.6467,-74.34,3.50,14.65,24.66
Alexandria Real Estate Equities Inc,Entertainment,-1.47,-7.16,-0.4645,648.36,-12.02,11.12,1.53
Atmos Energy Corp,Transportation,-2.76,-4.16,0.8735,7.64,-7.88,-2.58,9.05
AvalonBay Communities Inc,Technology,-0.72,-2.61,0.7028,116.06,1.73,6.73,8.79
Broadcom Inc,Automative,7.41,2.40,0.7320,-139.70,4.13,7.88,12.51
Avery Dennison Corp,Healthcare,-3.33,-3.43,-0.4602,31.71,6.67,-7.47,30.24
American Water Works Company Inc,Energy,-0.51,-3.29,-0.6759,8.36,-3.63,11.66,9.70
Axon Enterprise Inc,Consumer Goods,-6.54,4.27,0.8880,6.34,1.71,31.38,16.42
American Express Co,Entertainment,-0.09,3.20,0.9458,5.78,23.09,24.41,34.23
Autozone Inc,Transportation,4.79,5.34,0.3016,-0.07,108.49,5.92,NULL
Boeing Co,Technology,4.85,11.41,-0.6788,-270.07,7.32,16.79,NULL
Bank of America Corp,Automative,-0.63,0.00,0.8158,-10.31,3.15,3.82,8.27
Ball Corp,Healthcare,-5.98,-4.81,-0.3625,50.42,2.58,-8.60,14.16
Baxter International Inc,Energy,-6.12,-9.41,-0.5348,66.66,2.00,2.12,1.52
Best Buy Co Inc,Consumer Goods,-3.78,-2.49,0.1693,4.57,3.09,-6.15,43.09
Becton Dickinson and Co,Entertainment,-0.18,-5.78,-0.5496,274.18,10.72,4.16,6.60
Franklin Resources Inc,Transportation,-1.24,3.80,0.0621,-131.20,1.56,8.51,3.54
Brown-Forman Corp,Technology,9.71,9.76,-0.2508,8.20,0.88,-1.18,28.05
Bunge Global SA,Automative,-2.04,-3.37,-0.7256,-36.97,14.50,-11.44,11.29
Biogen Inc,Healthcare,-2.15,-8.47,-0.8650,665.41,8.49,-3.32,10.47
